iucn_sid,sciname,worms_name,mapped
222,acipenser brevirostrum,acipenser brevirostrum,FALSE
224,acipenser naccarii,acipenser naccarii,FALSE
225,acipenser nudiventris,acipenser nudiventris,FALSE
229,acipenser stellatus,acipenser stellatus,FALSE
230,acipenser sturio,acipenser sturio,FALSE
232,acipenser gueldenstaedtii,acipenser gueldenstaedtii,FALSE
233,acipenser medirostris,acipenser medirostris,FALSE
234,acipenser transmontanus,acipenser transmontanus,FALSE
235,acipenser persicus,acipenser persicus,FALSE
236,acipenser sinensis,acipenser sinensis,FALSE
241,acipenser mikadoi,acipenser mikadoi,FALSE
242,acipenser oxyrinchus,acipenser oxyrinchus,FALSE
243,acipenser oxyrinchus,acipenser oxyrinchus,FALSE
245,acipenser oxyrinchus,acipenser oxyrinchus,FALSE
678,agathothoma finalis,agathotoma finalis,FALSE
907,alosa immaculata,alosa immaculata,TRUE
908,alosa alabamae,alosa alabamae,TRUE
1086,amblyrhynchus cristatus,amblyrhynchus cristatus,TRUE
1308,anisotremus moricandi,anisotremus moricandi,FALSE
1615,choranthias salmopunctatus,choranthias salmopunctatus,FALSE
1793,aonyx capensis,aonyx capensis,FALSE
1866,aplochiton marinus,aplochiton marinus,FALSE
2055,arctocephalus australis,arctocephalus australis,TRUE
2057,arctocephalus galapagoensis,arctocephalus galapagoensis,TRUE
2058,arctocephalus gazella,arctocephalus gazella,TRUE
2059,arctocephalus philippii,arctocephalus philippii,TRUE
2060,arctocephalus pusillus,arctocephalus pusillus,TRUE
2061,arctocephalus townsendi,arctocephalus philippii townsendi,TRUE
2062,arctocephalus tropicalis,arctocephalus tropicalis,TRUE
2064,arctocephalus australis,arctocephalus australis,FALSE
2066,arctocephalus pusillus,arctocephalus pusillus,FALSE
2067,arctocephalus pusillus,arctocephalus pusillus,FALSE
2113,arius madagascariensis,arius madagascariensis,FALSE
2179,assiminea infirma,angustassiminea infima,FALSE
2181,assiminea palauensis,assiminea palauensis,FALSE
2182,assiminea pecos,assiminea pecos,FALSE
2218,astraea heliotropium,astraea heliotropium,FALSE
2352,atherina boyeri,atherina boyeri,FALSE
2467,balaena mysticetus,balaena mysticetus,TRUE
2468,balaena mysticetus,balaena mysticetus,TRUE
2469,balaena mysticetus,balaena mysticetus,TRUE
2472,balaena mysticetus,balaena mysticetus,TRUE
